"X","Swidtab","Cygnets","CygnetsII","CygnetsIII","Age","PrevSeaMaxDUr","PrevSeaMove","PrevSSites","SWID","Sex","Season","PrevSeason","PrevSeaWWT","MainSite","PrevSeaMS","PrevSeaBS","ThisSeaWWT","PrevSeaWWT.1","Julian","PrevSeaJulian","PBS","PopBSAll","Ind","WWTBOTH","WWTNON","WWTOUT","WWTIN","WWTNEW","Age.Z","PBS.Z","PopBSAll.Z","PrevSeaMaxDUr","PrevSSites.Z","PrevSeaJulian.Z"
"21",36,9,0,NA,0,4,130,NA,1,"D00009","F",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",66,74,1,1,23,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.129773949601914,-4.37211962739665,130,-0.596234559041618,-0.460092954415871
"22",40,10,0,NA,0,8,94,NA,1,"D00010","M",1981,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,72,0,1,24,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,-4.37211962739665,94,-0.596234559041618,-0.653988372756749
"23",43,11,1,1,1,4,143,NA,1,"D00011","M",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",72,74,2,1,26,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,0.192311256791694,-4.37211962739665,143,-0.596234559041618,-0.460092954415871
"24",44,11,0,NA,0,5,123,NA,1,"D00011","M",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,72,2,15.69,27,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,0.192311256791694,-0.220998253620267,123,-0.596234559041618,-0.653988372756749
"25",45,11,6,6,1,6,136,NA,1,"D00011","M",1984,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,71,8,20.83,28,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,2.12482249515334,1.23147035503941,136,-0.596234559041618,-0.750936081927188
"26",46,11,4,4,1,7,135,NA,1,"D00011","M",1985,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",87,77,12,22.9,29,"WWTBOTH","","","","WWTBOTH",0.280577015681729,3.41316332072776,1.8164139386825,135,-0.596234559041618,-0.169249826904554
"27",47,11,3,3,1,8,148,NA,1,"D00011","M",1986,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",69,87,15,11.2,30,"WWTBOTH","","","","WWTBOTH",0.591614684629545,4.37941893990858,-1.48978892538718,148,-0.596234559041618,0.800227264799837
"28",48,11,2,2,1,9,137,NA,1,"D00011","M",1987,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",65,69,17,17.4,31,"WWTBOTH","","","","WWTBOTH",0.902652353577361,5.0235893526958,0.262216011128378,137,-0.596234559041618,-0.944831500268067
"29",49,11,0,NA,0,10,114,NA,1,"D00011","M",1988,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,65,17,8.5,32,"WWTBOTH","","","","WWTBOTH",1.21369002252518,5.0235893526958,-2.25275881709557,114,-0.596234559041618,-1.33262233694982
"30",50,11,0,NA,0,11,110,NA,1,"D00011","M",1989,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,NA,17,9.8,33,"WWTBOTH","","","","WWTBOTH",1.52472769147299,5.0235893526958,-1.88540294331005,110,-0.596234559041618,NA
