"X","Swidtab","Cygnets","CygnetsII","CygnetsIII","Age","PrevSeaMaxDUr","PrevSeaMove","PrevSSites","SWID","Sex","Season","PrevSeason","PrevSeaWWT","MainSite","PrevSeaMS","PrevSeaBS","ThisSeaWWT","PrevSeaWWT.1","Julian","PrevSeaJulian","PBS","PopBSAll","Ind","WWTBOTH","WWTNON","WWTOUT","WWTIN","WWTNEW","Age.Z","PBS.Z","PopBSAll.Z","PrevSeaMaxDUr","PrevSSites.Z","PrevSeaJulian.Z"
"1179",2933,786,0,NA,0,9,13,NA,1,"H00541","F",1997,"Yes","Yes","GB-LBD","GB-CAE","IS-GAR","No","Yes",90,90,17,15.02,1245,"","","WWTOUT","","WWTOUT",0.902652353577361,5.0235893526958,-0.410327819340497,13,-0.596234559041618,1.09107039231115
"1180",2934,786,5,5,1,10,9,4.558915285,3,"H00541","F",1998,"Yes","No","GB-CAE","GB-CAE","IS-GAR","Yes","Yes",86,90,22,20.44,1246,"WWTBOTH","","","","WWTBOTH",1.21369002252518,6.63401538466383,1.12126359290375,9,1.65212289871641,1.09107039231115
"1181",2937,787,0,NA,0,4,136,NA,1,"H00542","F",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",92,87,0,12.8,1247,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,136,-0.596234559041618,0.800227264799837
"1182",2938,787,1,1,1,5,141,NA,1,"H00542","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",73,92,1,16,1248,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.129773949601914,-0.133398006794489,141,-0.596234559041618,1.28496581065203
"1183",2943,789,2,2,1,4,13,127.7213938,2,"H00544","F",1992,"Yes","Yes","GB-TIG","GB-CAE",NA,"No","Yes",NA,NA,2,12.8,1249,"","","WWTOUT","","WWTOUT",-0.652535991161719,0.192311256791694,-1.03765861918962,13,0.527944169837395,NA
"1184",2952,791,0,NA,0,2,167,NA,1,"H00546","F",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,83,0,12.8,1250,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-1.03765861918962,167,-0.596234559041618,0.412436428118081
"1185",2953,791,0,NA,0,3,120,NA,1,"H00546","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,NA,0,16,1251,"WWTBOTH","","","","WWTBOTH",-0.963573660109535,-0.451859155995521,-0.133398006794489,120,-0.596234559041618,NA
"1186",2954,791,1,1,1,4,116,NA,1,"H00546","F",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,NA,1,17.9,1252,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.129773949601914,0.403506731815117,116,-0.596234559041618,NA
"1187",2955,791,0,NA,0,5,49,0.020550024,2,"H00546","F",1995,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",85,NA,1,18.29,1253,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.129773949601914,0.513713493950773,49,0.527944169837395,NA
"1188",2956,791,0,NA,0,6,55,NA,1,"H00546","F",1996,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",79,85,1,20.63,1254,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.129773949601914,1.17495406676471,55,-0.596234559041618,0.606331846458959
"1189",2957,791,0,NA,0,7,4,NA,1,"H00546","F",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",77,79,1,15.02,1255,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.129773949601914,-0.410327819340497,4,-0.596234559041618,0.0246455914363242
"1190",2958,791,0,NA,0,8,27,NA,1,"H00546","F",1998,"Yes","Yes","GB-THW","GB-CAE",NA,"No","Yes",71,77,1,20.44,1256,"","","WWTOUT","","WWTOUT",0.591614684629545,-0.129773949601914,1.12126359290375,27,-0.596234559041618,-0.169249826904554
"1191",2959,791,0,NA,0,9,5,3.669432579,2,"H00546","F",1999,"Yes","No","GB-CAE","GB-CAE",NA,"Yes","Yes",76,71,1,16.8,1257,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.129773949601914,0.0926671463042928,5,0.527944169837395,-0.750936081927188
"1192",2960,791,0,NA,0,10,12,NA,1,"H00546","F",2000,"Yes","Yes","GB-CAE","GB-THW",NA,"Yes","No",NA,76,1,16.32,1258,"","","","WWTIN","WWTIN",1.21369002252518,-0.129773949601914,-0.0429719455549764,12,-0.596234559041618,-0.266197536074993
"1193",2963,791,0,NA,0,13,2,NA,1,"H00546","F",2003,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",81,NA,1,15.28,1259,"WWTBOTH","","","","WWTBOTH",2.14680302936863,-0.129773949601914,-0.336856644583393,2,-0.596234559041618,NA
"1194",2964,791,0,NA,0,14,109,NA,1,"H00546","F",2004,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",68,81,1,16.9,1260,"WWTBOTH","","","","WWTBOTH",2.45784069831644,-0.129773949601914,0.12092529044164,109,-0.596234559041618,0.218541009777202
"1195",2966,791,0,NA,0,16,97,NA,1,"H00546","F",2006,"Yes","Yes","GB-OW2","GB-CAE",NA,"No","Yes",70,82,1,12.5,1261,"","","WWTOUT","","WWTOUT",3.07991603621207,-0.129773949601914,-1.12243305160166,97,-0.596234559041618,0.315488718947641
"1196",2967,791,1,1,1,17,93,4.781577816,3,"H00546","F",2007,"Yes","No","GB-OW2","GB-CAE",NA,"No","Yes",69,70,2,20.7,1262,"","","WWTOUT","","WWTOUT",3.39095370515989,0.192311256791694,1.19473476766085,93,1.65212289871641,-0.847883791097627
"1197",2968,791,0,NA,0,18,108,1.112145237,2,"H00546","F",2008,"Yes","No","GB-OW2","GB-OW2",NA,"No","No",89,69,2,16.8,1263,"","WWTNON","","","WWTNON",3.70199137410771,0.192311256791694,0.0926671463042928,108,0.527944169837395,-0.944831500268067
"1198",2969,791,0,NA,0,19,130,1.112145237,2,"H00546","F",2009,"Yes","No","GB-OW2","GB-OW2",NA,"No","No",NA,89,2,15.4,1264,"","WWTNON","","","WWTNON",4.01302904305552,0.192311256791694,-0.302946871618575,130,0.527944169837395,0.994122683140715
"1199",2972,792,0,NA,0,4,157,NA,1,"H00547","M",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",83,83,0,12.8,1265,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,157,-0.596234559041618,0.412436428118081
"1200",2973,792,0,NA,0,5,162,NA,1,"H00547","M",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",86,83,0,16,1266,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,162,-0.596234559041618,0.412436428118081
"1201",2980,796,0,NA,0,5,65,62.09119828,3,"H00551","F",1993,"Yes","No","IRL-RSD","GB-CAE",NA,"No","Yes",76,89,0,16,1267,"","","WWTOUT","","WWTOUT",-0.341498322213903,-0.451859155995521,-0.133398006794489,65,1.65212289871641,0.994122683140715
"1202",2985,797,0,NA,0,5,150,NA,1,"H00552","M",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",85,80,0,16,1268,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,150,-0.596234559041618,0.121593300606763
"1203",2987,797,0,NA,0,7,96,NA,1,"H00552","M",1995,"Yes","Yes","GB-CAE","GB-CAE","IS-MKS","Yes","Yes",88,78,0,18.29,1269,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.513713493950773,96,-0.596234559041618,-0.0723021177341148
"1204",2988,797,0,NA,0,8,14,NA,1,"H00552","M",1996,"Yes","Yes","GB-CAE","GB-WEL",NA,"Yes","Yes",75,88,0,20.63,1270,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,1.17495406676471,14,-0.596234559041618,0.897174973970276
"1205",2989,797,0,NA,0,9,3,NA,1,"H00552","M",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",86,75,0,15.02,1271,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,-0.410327819340497,3,-0.596234559041618,-0.363145245245432
"1206",2990,797,6,6,1,10,39,NA,1,"H00552","M",1998,"Yes","Yes","GB-UPW","GB-CAE","IS-LGM","No","Yes",81,86,6,20.44,1272,"","","WWTOUT","","WWTOUT",1.21369002252518,1.48065208236612,1.12126359290375,39,-0.596234559041618,0.703279555629398
"1207",2991,797,0,NA,0,11,113,280.6993734,4,"H00552","M",1999,"Yes","No","GB-CAE","GB-CAE",NA,"Yes","Yes",74,81,6,16.8,1273,"WWTBOTH","","","","WWTBOTH",1.52472769147299,1.48065208236612,0.0926671463042928,113,2.77630162759542,0.218541009777202
"1208",2994,798,0,NA,0,4,94,NA,1,"H00553","F",1992,"Yes","Yes","GB-WEL","GB-CAE",NA,"Yes","Yes",64,NA,0,12.8,1274,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,94,-0.596234559041618,NA
"1209",2998,799,0,NA,0,4,158,NA,1,"H00554","F",1992,"Yes","Yes","GB-CAE","GB-CAE","IS-GLB","Yes","Yes",84,83,0,12.8,1275,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,158,-0.596234559041618,0.412436428118081
"1210",2999,799,0,NA,0,5,148,NA,1,"H00554","F",1993,"Yes","Yes","GB-CAE","GB-CAE","IS-GLB","Yes","Yes",97,84,0,16,1276,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,148,-0.596234559041618,0.50938413728852
"1211",3000,799,0,NA,0,6,143,NA,1,"H00554","F",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",85,97,0,17.9,1277,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,0.403506731815117,143,-0.596234559041618,1.76970435650423
"1212",3004,800,0,NA,0,4,154,NA,1,"H00555","M",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",88,87,0,12.8,1278,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,154,-0.596234559041618,0.800227264799837
"1213",3005,800,0,NA,0,5,164,NA,1,"H00555","M",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",100,88,0,16,1279,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,164,-0.596234559041618,0.897174973970276
"1214",3006,800,0,NA,0,6,149,NA,1,"H00555","M",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",90,100,0,17.9,1280,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,0.403506731815117,149,-0.596234559041618,2.06054748401555
"1215",3007,800,0,NA,0,7,119,NA,1,"H00555","M",1995,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",90,90,0,18.29,1281,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.513713493950773,119,-0.596234559041618,1.09107039231115
"1216",3008,800,0,NA,0,8,64,NA,1,"H00555","M",1996,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",83,90,0,20.63,1282,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,1.17495406676471,64,-0.596234559041618,1.09107039231115
"1217",3009,800,0,NA,0,9,5,NA,1,"H00555","M",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",76,83,0,15.02,1283,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,-0.410327819340497,5,-0.596234559041618,0.412436428118081
"1218",3011,800,0,NA,0,11,2,NA,1,"H00555","M",1999,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",83,82,0,16.8,1284,"WWTBOTH","","","","WWTBOTH",1.52472769147299,-0.451859155995521,0.0926671463042928,2,-0.596234559041618,0.315488718947641
"1219",3014,801,0,NA,0,4,89,162.9645253,2,"H00556","M",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",84,83,0,12.8,1285,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,89,0.527944169837395,0.412436428118081
"1220",3015,801,0,NA,0,5,160,NA,1,"H00556","M",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",97,84,0,16,1286,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,160,-0.596234559041618,0.50938413728852
"1221",3016,801,0,NA,0,6,136,NA,1,"H00556","M",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",93,97,0,17.9,1287,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,0.403506731815117,136,-0.596234559041618,1.76970435650423
"1222",3017,801,0,NA,0,7,141,NA,1,"H00556","M",1995,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",93,93,0,18.29,1288,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.513713493950773,141,-0.596234559041618,1.38191351982247
"1223",3018,801,0,NA,0,8,3,NA,1,"H00556","M",1996,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",82,93,0,20.63,1289,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,1.17495406676471,3,-0.596234559041618,1.38191351982247
"1224",3019,801,0,NA,0,9,81,NA,1,"H00556","M",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,82,0,15.02,1290,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,-0.410327819340497,81,-0.596234559041618,0.315488718947641
"1225",3026,803,0,NA,0,5,30,947.2227524,3,"H00558","M",1993,"Yes","Yes","GB-WEL","GB-CAE",NA,"Yes","Yes",NA,90,0,16,1291,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,30,1.65212289871641,1.09107039231115
"1226",3029,804,0,NA,0,4,159,NA,1,"H00559","F",1992,"Yes","Yes","GB-CAE","GB-CAE","IS-GLB","Yes","Yes",84,83,0,12.8,1292,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,159,-0.596234559041618,0.412436428118081
"1227",3030,804,0,NA,0,5,11,NA,1,"H00559","F",1993,"Yes","Yes","GB-CAE","GB-CAE","IS-GLB","Yes","Yes",76,84,0,16,1293,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,11,-0.596234559041618,0.50938413728852
"1228",3033,805,0,NA,0,4,89,NA,1,"H00560","F",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",83,83,0,12.8,1294,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,89,-0.596234559041618,0.412436428118081
"1229",3034,805,0,NA,0,5,137,NA,1,"H00560","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",97,83,0,16,1295,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,137,-0.596234559041618,0.412436428118081
"1230",3040,807,0,NA,0,5,137,NA,1,"H00562","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",85,88,0,16,1297,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,137,-0.596234559041618,0.897174973970276
"1231",3041,807,0,NA,0,6,136,3.669432579,2,"H00562","F",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",87,85,0,17.9,1298,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,0.403506731815117,136,0.527944169837395,0.606331846458959
"1232",3042,807,0,NA,0,7,127,NA,1,"H00562","F",1995,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",90,87,0,18.29,1299,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.513713493950773,127,-0.596234559041618,0.800227264799837
"1233",3043,807,0,NA,0,8,9,NA,1,"H00562","F",1996,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",89,90,0,20.63,1300,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,1.17495406676471,9,-0.596234559041618,1.09107039231115
"1234",3044,807,0,NA,0,9,146,NA,1,"H00562","F",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,89,0,15.02,1301,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,-0.410327819340497,146,-0.596234559041618,0.994122683140715
"1235",3045,807,1,1,1,10,2,273.6829299,2,"H00562","F",1998,"Yes","Yes","GB-DNK","GB-CAE",NA,"No","Yes",NA,NA,1,20.44,1302,"","","WWTOUT","","WWTOUT",1.21369002252518,-0.129773949601914,1.12126359290375,2,0.527944169837395,NA
"1236",3049,808,0,NA,0,2,141,NA,1,"H00563","F",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",78,83,0,12.8,1303,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-1.03765861918962,141,-0.596234559041618,0.412436428118081
"1237",3054,810,0,NA,0,4,93,149.3565616,2,"H00565","M",1992,"Yes","Yes","GB-MMR","GB-CAE","IS-SNV","Yes","Yes",96,81,0,12.8,1304,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,93,0.527944169837395,0.218541009777202
"1238",3055,810,0,NA,0,5,93,149.3565616,2,"H00565","M",1993,"Yes","Yes","GB-CAE","GB-MMR",NA,"Yes","Yes",82,96,0,16,1305,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,93,0.527944169837395,1.67275664733379
"1239",3060,811,0,NA,0,5,170,NA,1,"H00566","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",100,92,0,16,1306,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,170,-0.596234559041618,1.28496581065203
"1240",3061,811,0,NA,0,6,178,NA,1,"H00566","F",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",97,100,0,17.9,1307,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,0.403506731815117,178,-0.596234559041618,2.06054748401555
"1241",3062,811,0,NA,0,7,131,NA,1,"H00566","F",1995,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",93,97,0,18.29,1308,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.513713493950773,131,-0.596234559041618,1.76970435650423
"1242",3063,811,0,NA,0,8,153,NA,1,"H00566","F",1996,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",97,93,0,20.63,1309,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,1.17495406676471,153,-0.596234559041618,1.38191351982247
"1243",3064,811,0,NA,0,9,3,NA,1,"H00566","F",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",96,97,0,15.02,1310,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,-0.410327819340497,3,-0.596234559041618,1.76970435650423
"1244",3067,812,0,NA,0,4,71,234.7930539,2,"H00567","M",1992,"Yes","Yes","GB-WEL","GB-CAE",NA,"Yes","Yes",64,NA,0,12.8,1311,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,71,0.527944169837395,NA
"1245",3070,813,0,NA,0,4,154,NA,1,"H00568","F",1992,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",88,87,0,12.8,1312,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,154,-0.596234559041618,0.800227264799837
"1246",3071,813,0,NA,0,5,164,NA,1,"H00568","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",100,88,0,16,1313,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,164,-0.596234559041618,0.897174973970276
"1247",3072,813,0,NA,0,6,149,NA,1,"H00568","F",1994,"Yes","Yes","GB-THW","GB-CAE",NA,"No","Yes",NA,100,0,17.9,1314,"","","WWTOUT","","WWTOUT",-0.0304606532660867,-0.451859155995521,0.403506731815117,149,-0.596234559041618,2.06054748401555
"1248",3076,814,0,NA,0,5,97,NA,1,"H00569","F",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",91,62,0,17.9,1315,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,0.403506731815117,97,-0.596234559041618,-1.62346546446114
"1249",3085,817,0,NA,0,3,171,NA,1,"H00572","F",1994,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,85,0,17.9,1316,"WWTBOTH","","","","WWTBOTH",-0.963573660109535,-0.451859155995521,0.403506731815117,171,-0.596234559041618,0.606331846458959
"1250",3090,819,0,NA,0,4,138,NA,1,"H00574","F",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",102,92,0,16,1318,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-0.133398006794489,138,-0.596234559041618,1.28496581065203
"1251",3093,820,0,NA,0,4,153,46.81277004,2,"H00575","F",1993,"Yes","No","GB-CAE","GB-CAE",NA,"Yes","Yes",97,90,0,16,1319,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-0.133398006794489,153,0.527944169837395,1.09107039231115
"1252",3094,820,0,NA,0,5,139,NA,1,"H00575","F",1994,"Yes","Yes","GB-CAE","GB-LGV",NA,"Yes","No",96,97,0,17.9,1320,"","","","WWTIN","WWTIN",-0.341498322213903,-0.451859155995521,0.403506731815117,139,-0.596234559041618,1.76970435650423
"1253",3098,822,0,NA,0,3,100,NA,1,"H00577","F",1994,"Yes","Yes","GB-WEL","GB-CAE",NA,"Yes","Yes",NA,65,0,17.9,1321,"WWTBOTH","","","","WWTBOTH",-0.963573660109535,-0.451859155995521,0.403506731815117,100,-0.596234559041618,-1.33262233694982
"1254",3101,823,0,NA,0,4,91,NA,1,"H00578","M",1993,"Yes","Yes","IRL-ANL","GB-CAE",NA,"No","Yes",76,88,0,16,1322,"","","WWTOUT","","WWTOUT",-0.652535991161719,-0.451859155995521,-0.133398006794489,91,-0.596234559041618,0.897174973970276
"1255",3105,824,0,NA,0,4,22,123.9566568,3,"H00579","F",1995,"Yes","No","GB-CAE","GB-CAE",NA,"Yes","Yes",89,78,0,18.29,1323,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,0.513713493950773,22,1.65212289871641,-0.0723021177341148
"1256",3108,824,0,NA,0,7,3,90.44198284,2,"H00579","F",1998,"Yes","Yes","GB-EMA","GB-CAE",NA,"No","Yes",63,75,0,20.44,1324,"","","WWTOUT","","WWTOUT",0.280577015681729,-0.451859155995521,1.12126359290375,3,0.527944169837395,-0.363145245245432
"1257",3111,825,0,NA,0,2,177,NA,1,"H00580","M",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",85,92,0,16,1325,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-0.133398006794489,177,-0.596234559041618,1.28496581065203
"1258",3112,825,0,NA,0,3,171,NA,1,"H00580","M",1994,"Yes","Yes","GB-MMR","GB-CAE",NA,"Yes","Yes",NA,85,0,17.9,1326,"WWTBOTH","","","","WWTBOTH",-0.963573660109535,-0.451859155995521,0.403506731815117,171,-0.596234559041618,0.606331846458959
"1259",3113,825,2,2,1,4,105,149.3565616,2,"H00580","M",1995,"Yes","Yes","GB-MMR","GB-CAE",NA,"Yes","Yes",71,NA,2,18.29,1327,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,0.192311256791694,0.513713493950773,105,0.527944169837395,NA
"1260",3114,825,0,NA,0,5,136,NA,1,"H00580","M",1996,"Yes","Yes","GB-MMR","GB-MMR",NA,"Yes","Yes",NA,71,2,20.63,1328,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,0.192311256791694,1.17495406676471,136,-0.596234559041618,-0.750936081927188
"1261",3115,825,1,1,1,6,116,149.3565616,2,"H00580","M",1997,"Yes","Yes","GB-MMR","GB-MMR",NA,"Yes","Yes",66,NA,3,15.02,1329,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,0.514396463185301,-0.410327819340497,116,0.527944169837395,NA
"1262",3116,825,0,NA,0,7,136,NA,1,"H00580","M",1998,"Yes","Yes","GB-MMR","GB-MMR",NA,"Yes","Yes",66,66,3,20.44,1330,"WWTBOTH","","","","WWTBOTH",0.280577015681729,0.514396463185301,1.12126359290375,136,-0.596234559041618,-1.23567462777938
"1263",3130,830,0,NA,0,4,7,NA,1,"H00585","M",1993,"Yes","Yes","GB-RTV","GB-CAE",NA,"No","Yes",NA,NA,0,16,1332,"","","WWTOUT","","WWTOUT",-0.652535991161719,-0.451859155995521,-0.133398006794489,7,-0.596234559041618,NA
"1264",3132,830,0,NA,0,6,19,481.526986,3,"H00585","M",1995,"Yes","No","GB-SAB","GB-RTV",NA,"No","No",75,72,0,18.29,1333,"","WWTNON","","","WWTNON",-0.0304606532660867,-0.451859155995521,0.513713493950773,19,1.65212289871641,-0.653988372756749
"1265",3135,831,0,NA,0,2,165,NA,1,"H00586","M",1993,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",78,84,0,16,1334,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-0.133398006794489,165,-0.596234559041618,0.50938413728852
"1266",3136,831,0,NA,0,3,153,NA,1,"H00586","M",1994,"Yes","Yes","NI-GAP","GB-CAE",NA,"No","Yes",NA,78,0,17.9,1335,"","","WWTOUT","","WWTOUT",-0.963573660109535,-0.451859155995521,0.403506731815117,153,-0.596234559041618,-0.0723021177341148
"1267",3141,833,0,NA,0,3,119,NA,1,"H00588","M",1994,"Yes","Yes","GB-CAE","NI-CLE",NA,"Yes","No",79,71,0,17.9,1336,"","","","WWTIN","WWTIN",-0.963573660109535,-0.451859155995521,0.403506731815117,119,-0.596234559041618,-0.750936081927188
"1268",3142,833,0,NA,0,4,58,0.020550024,2,"H00588","M",1995,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",68,79,0,18.29,1337,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,0.513713493950773,58,0.527944169837395,0.0246455914363242
"1269",3143,833,0,NA,0,5,133,NA,1,"H00588","M",1996,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",70,68,0,20.63,1338,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,1.17495406676471,133,-0.596234559041618,-1.04177920943851
"1270",3144,833,0,NA,0,6,24,NA,1,"H00588","M",1997,"Yes","Yes","GB-CAE","GB-CAE",NA,"Yes","Yes",66,70,0,15.02,1339,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,-0.410327819340497,24,-0.596234559041618,-0.847883791097627
"1271",3149,836,0,NA,0,2,155,NA,1,"H00591","M",1993,"Yes","Yes","GB-WEL","GB-CAE",NA,"Yes","Yes",NA,78,0,16,1340,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-0.133398006794489,155,-0.596234559041618,-0.0723021177341148
